Bootstrap,Train Accuracy,Test Accuracy,Apology Accuracy
0,0.9219340682029724,0.8895066380500793,0.5676190257072449
1,0.9128546118736267,0.8839471936225891,0.5999999642372131
2,0.9248012900352478,0.8881167769432068,0.569523811340332
3,0.9185889959335327,0.8912439346313477,0.5771428346633911
4,0.9206308126449585,0.8853370547294617,0.5619047284126282
5,0.9225422739982605,0.8867269158363342,0.5676190257072449
6,0.9170685410499573,0.8825573921203613,0.5885714292526245
7,0.9226725697517395,0.8870744109153748,0.5714285373687744
8,0.9174594879150391,0.8822098970413208,0.5961904525756836
9,0.9249315857887268,0.8842946887016296,0.5657142996788025
