Work,Author,Sentences
Cyropaedia,Xenophon,4451
Hellenica,Xenophon,3456
Anabasis,Xenophon,3406
Memorabilia,Xenophon,1849
Theaetetus,Plato,1187
Cratylus,Plato,1012
Philebus,Plato,951
Economics,Xenophon,892
Sophist,Plato,888
Parmenides,Plato,860
Symposium,Plato,849
Statesman,Plato,791
Phaedrus,Plato,780
Phaedo,Plato,769
Euthydemus,Plato,741
Alcibiades 1,Plato,611
Banquet,Xenophon,571
On Hunting,Xenophon,548
Charmides,Plato,434
Apology (Plato),Plato,416
Laches,Plato,401
On the Art of Horsemanship,Xenophon,383
Lysis,Plato,378
Agesilaus,Xenophon,352
Hiero,Xenophon,300
On the Cavalry Commander,Xenophon,293
Euthyphro,Plato,284
Constitution of the Lacedaimonians,Xenophon,271
Alcibiades 2,Plato,212
Crito,Plato,200
Theages,Plato,199
Ways and Means,Xenophon,194
Lovers,Plato,135
Hipparchus,Plato,126
Apology (Xenophon),Xenophon,109
